Spieler;Marktwert;Besitzer;TM_Stand
M. Eggestein;4.600.000;Thomas;06.06.2025
Zetterer;2.340.000;Christoph;06.06.2025
Mittelstädt;10.710.000;Thomas;06.06.2025
Gulácsi;3.390.000;Alfons;06.06.2025
Dorsch;1.720.000;Nico;06.06.2025
Heuer Fernandes;2.200.000;Thomas;06.06.2025
B. Jatta;2.230.000;Thomas;06.06.2025
Wahl;3.790.000;Thomas;06.06.2025
Geiger;980.000;Nico;06.06.2025
Burke;4.630.000;Dominik;06.06.2025
Hübers;3.030.000;Computer;06.06.2025
Bruun Larsen;1.320.000;Thomas;06.06.2025
Hack;5.250.000;Christoph;06.06.2025
Meyer;230.000;Thomas;06.06.2025
Dahmen;2.730.000;Thomas;06.06.2025
Baumgartner;2.630.000;Computer;06.06.2025
Muslija;450.000;Dominik;06.06.2025
Tietz;3.880.000;Alfons;06.06.2025
Lainer;790.000;Dominik;06.06.2025
Osterhage;2.540.000;Thomas;06.06.2025
Musiala;16.970.000;Thomas;06.06.2025
Doan;13.640.000;Thomas;06.06.2025
Martel;4.530.000;Alfons;06.06.2025
Dinkçi;1.610.000;Alfons;06.06.2025
Knauff;5.440.000;Nico;06.06.2025
Ilaix Moriba;220.000;Computer;06.06.2025
Chabot;6.060.000;Computer;06.06.2025
Doekhi;3.940.000;Nico;06.06.2025
Skarke;1.400.000;Thomas;06.06.2025
Koudossou;440.000;Dominik;06.06.2025
Král;540.000;Computer;06.06.2025
Dina Ebimbe;510.000;Computer;06.06.2025
Diehl;570.000;Thomas;06.06.2025
Juranović;1.550.000;Nico;06.06.2025
Traoré;1.360.000;Christoph;06.06.2025
Rosenfelder;1.740.000;Alfons;06.06.2025
Čvančara;1.180.000;Computer;06.06.2025
Boniface;8.250.000;Alfons;06.06.2025
Undav;12.200.000;Computer;06.06.2025
Finkgräfe;1.680.000;Computer;06.06.2025
Stergiou;1.340.000;Dominik;06.06.2025
Pavlović;9.330.000;Nico;06.06.2025
Fukuda;400.000;Alfons;06.06.2025
Wätjen;350.000;Thomas;06.06.2025
B. Dárdai;1.910.000;Dominik;06.06.2025
Vasilj;2.980.000;Dominik;06.06.2025
Saliakas;3.340.000;Nico;06.06.2025
Sander;2.050.000;Dominik;06.06.2025
Ouédraogo;2.010.000;Nico;06.06.2025
Prtajin;290.000;Computer;06.06.2025
Querfeld;3.800.000;Alfons;06.06.2025
Hendriks;1.510.000;Nico;06.06.2025
Uzun;4.150.000;Christoph;06.06.2025
Højlund;1.660.000;Alfons;06.06.2025
Kristensen;7.460.000;Alfons;06.06.2025
Chase;870.000;Computer;06.06.2025
Tabaković;1.780.000;Alfons;06.06.2025
Vermeeren;2.180.000;Christoph;06.06.2025
Hennrich;170.000;Dominik;06.06.2025
G. Orban;1.920.000;Nico;06.06.2025
Wahi;2.600.000;Nico;06.06.2025
B. Touré;2.810.000;Christoph;06.06.2025
Ljubičić;700.000;Alfons;06.06.2025
Vidić;160.000;Thomas;06.06.2025
