Spieler;Link;Datum;Spielerpool
Götze;https://www.comunio.de/bundesliga/players/G%C3%B6tze-31572;14.04.2026;538.0
Gouweleeuw;https://www.comunio.de/bundesliga/players/Gouweleeuw-32549;14.04.2026;538.0
Grabara;https://www.comunio.de/bundesliga/players/Grabara-33921;14.04.2026;538.0
Grahl;https://www.comunio.de/bundesliga/players/Grahl-31458;14.04.2026;538.0
Gregoritsch;https://www.comunio.de/bundesliga/players/Gregoritsch-31958;14.04.2026;538.0
Grifo;https://www.comunio.de/bundesliga/players/Grifo-32071;14.04.2026;538.0
Grimaldo;https://www.comunio.de/bundesliga/players/Grimaldo-33771;14.04.2026;538.0
Grønbæk;https://www.comunio.de/bundesliga/players/Gr%C3%B8nb%C3%A6k-34337;14.04.2026;538.0
Gruda;https://www.comunio.de/bundesliga/players/Gruda-33695;14.04.2026;538.0
Grüll;https://www.comunio.de/bundesliga/players/Gr%C3%BCll-33923;14.04.2026;538.0
Guirassy;https://www.comunio.de/bundesliga/players/Guirassy-32667;14.04.2026;538.0
Gulácsi;https://www.comunio.de/bundesliga/players/Gul%C3%A1csi-32575;14.04.2026;538.0
Günter;https://www.comunio.de/bundesliga/players/G%C3%BCnter-32019;14.04.2026;538.0
Güther;https://www.comunio.de/bundesliga/players/G%C3%BCther-34358;14.04.2026;538.0
H. Behrens;https://www.comunio.de/bundesliga/players/H.%20Behrens-34106;14.04.2026;538.0
Haberer;https://www.comunio.de/bundesliga/players/Haberer-32310;14.04.2026;538.0
Hack;https://www.comunio.de/bundesliga/players/Hack-32787;14.04.2026;538.0
Hajdari;https://www.comunio.de/bundesliga/players/Hajdari-34275;14.04.2026;538.0
Hanche-Olsen;https://www.comunio.de/bundesliga/players/Hanche-Olsen-33707;14.04.2026;538.0
Hara;https://www.comunio.de/bundesliga/players/Hara-34338;14.04.2026;538.0
Harchaoui;https://www.comunio.de/bundesliga/players/Harchaoui-34138;14.04.2026;538.0
Harder;https://www.comunio.de/bundesliga/players/Harder-34295;14.04.2026;538.0
Hein;https://www.comunio.de/bundesliga/players/Hein-34274;14.04.2026;538.0
Heintz;https://www.comunio.de/bundesliga/players/Heintz-31882;14.04.2026;538.0
Hellstern;https://www.comunio.de/bundesliga/players/Hellstern-34260;14.04.2026;538.0
Hendriks;https://www.comunio.de/bundesliga/players/Hendriks-34001;14.04.2026;538.0
Henrichs;https://www.comunio.de/bundesliga/players/Henrichs-32461;14.04.2026;538.0
Hensel;https://www.comunio.de/bundesliga/players/Hensel-34305;14.04.2026;538.0
Hermann;https://www.comunio.de/bundesliga/players/Hermann-34145;14.04.2026;538.0
Heuer Fernandes;https://www.comunio.de/bundesliga/players/Heuer%20Fernandes-32629;14.04.2026;538.0
Hložek;https://www.comunio.de/bundesliga/players/Hlo%C5%BEek-33619;14.04.2026;538.0
Höfler;https://www.comunio.de/bundesliga/players/H%C3%B6fler-31710;14.04.2026;538.0
Højlund;https://www.comunio.de/bundesliga/players/H%C3%B8jlund-34019;14.04.2026;538.0
Höler;https://www.comunio.de/bundesliga/players/H%C3%B6ler-32861;14.04.2026;538.0
Hollerbach;https://www.comunio.de/bundesliga/players/Hollerbach-33830;14.04.2026;538.0
Honorat;https://www.comunio.de/bundesliga/players/Honorat-33817;14.04.2026;538.0
Honsak;https://www.comunio.de/bundesliga/players/Honsak-33797;14.04.2026;538.0
Hountondji;https://www.comunio.de/bundesliga/players/Hountondji-34229;14.04.2026;538.0
Hranáč;https://www.comunio.de/bundesliga/players/Hran%C3%A1%C4%8D-34048;14.04.2026;538.0
Hübers;https://www.comunio.de/bundesliga/players/H%C3%BCbers-32744;14.04.2026;538.0
Huseinbašić;https://www.comunio.de/bundesliga/players/Huseinba%C5%A1i%C4%87-33621;14.04.2026;538.0
Huth;https://www.comunio.de/bundesliga/players/Huth-32506;14.04.2026;538.0
I. Schmidt;https://www.comunio.de/bundesliga/players/I.%20Schmidt-34280;14.04.2026;538.0
I. Traoré;https://www.comunio.de/bundesliga/players/I.%20Traor%C3%A9-34190;14.04.2026;538.0
Ibrahimović;https://www.comunio.de/bundesliga/players/Ibrahimovi%C4%87-33713;14.04.2026;538.0
Ilić;https://www.comunio.de/bundesliga/players/Ili%C4%87-34059;14.04.2026;538.0
Inácio;https://www.comunio.de/bundesliga/players/In%C3%A1cio-34347;14.04.2026;538.0
Irié;https://www.comunio.de/bundesliga/players/Iri%C3%A9-34183;14.04.2026;538.0
Irvine;https://www.comunio.de/bundesliga/players/Irvine-33950;14.04.2026;538.0
Itō;https://www.comunio.de/bundesliga/players/It%C5%8D-33496;14.04.2026;538.0
J. Bürger;https://www.comunio.de/bundesliga/players/J.%20B%C3%BCrger-34304;14.04.2026;538.0
J. Hofmann;https://www.comunio.de/bundesliga/players/J.%20Hofmann-32080;14.04.2026;538.0
Jackson;https://www.comunio.de/bundesliga/players/Jackson-34297;14.04.2026;538.0
Jakić;https://www.comunio.de/bundesliga/players/Jaki%C4%87-33517;14.04.2026;538.0
Jaquez;https://www.comunio.de/bundesliga/players/Jaquez-34112;14.04.2026;538.0
Jatta;https://www.comunio.de/bundesliga/players/Jatta-32630;14.04.2026;538.0
Jeltsch;https://www.comunio.de/bundesliga/players/Jeltsch-34115;14.04.2026;538.0
Jenz;https://www.comunio.de/bundesliga/players/Jenz-33727;14.04.2026;538.0
Jeong;https://www.comunio.de/bundesliga/players/Jeong-33035;14.04.2026;538.0
Jóhannesson;https://www.comunio.de/bundesliga/players/J%C3%B3hannesson-34196;14.04.2026;538.0
Jones;https://www.comunio.de/bundesliga/players/Jones-34204;14.04.2026;538.0
Jovanović;https://www.comunio.de/bundesliga/players/Jovanovi%C4%87-34230;14.04.2026;538.0
Juranović;https://www.comunio.de/bundesliga/players/Juranovi%C4%87-33720;14.04.2026;538.0
K. Schlotterbeck;https://www.comunio.de/bundesliga/players/K.%20Schlotterbeck-32953;14.04.2026;538.0
Kaars;https://www.comunio.de/bundesliga/players/Kaars-34279;14.04.2026;538.0
Kabak;https://www.comunio.de/bundesliga/players/Kabak-33026;14.04.2026;538.0
Kabar;https://www.comunio.de/bundesliga/players/Kabar-34066;14.04.2026;538.0
Kade;https://www.comunio.de/bundesliga/players/Kade-33564;14.04.2026;538.0
Kainz;https://www.comunio.de/bundesliga/players/Kainz-32636;14.04.2026;538.0
Kalimuendo;https://www.comunio.de/bundesliga/players/Kalimuendo-34324;14.04.2026;538.0
Kaltefleiter;https://www.comunio.de/bundesliga/players/Kaltefleiter-34348;14.04.2026;538.0
Kamiński;https://www.comunio.de/bundesliga/players/Kami%C5%84ski-33607;14.04.2026;538.0
Kane;https://www.comunio.de/bundesliga/players/Kane-33838;14.04.2026;538.0
Karazor;https://www.comunio.de/bundesliga/players/Karazor-33085;14.04.2026;538.0
Karl;https://www.comunio.de/bundesliga/players/Karl-34206;14.04.2026;538.0
Kastanaras;https://www.comunio.de/bundesliga/players/Kastanaras-33588;14.04.2026;538.0
Katterbach;https://www.comunio.de/bundesliga/players/Katterbach-33053;14.04.2026;538.0
Kauã Santos;https://www.comunio.de/bundesliga/players/Kau%C3%A3%20Santos-33855;14.04.2026;538.0
Kaufmann;https://www.comunio.de/bundesliga/players/Kaufmann-33791;14.04.2026;538.0
Kawasaki;https://www.comunio.de/bundesliga/players/Kawasaki-34231;14.04.2026;538.0
Keitel;https://www.comunio.de/bundesliga/players/Keitel-33211;14.04.2026;538.0
Kemlein;https://www.comunio.de/bundesliga/players/Kemlein-33821;14.04.2026;538.0
Kerber;https://www.comunio.de/bundesliga/players/Kerber-33925;14.04.2026;538.0
Khedira;https://www.comunio.de/bundesliga/players/Khedira-32073;14.04.2026;538.0
Kiala;https://www.comunio.de/bundesliga/players/Kiala-34205;14.04.2026;538.0
Kilian;https://www.comunio.de/bundesliga/players/Kilian-33105;14.04.2026;538.0
Kim;https://www.comunio.de/bundesliga/players/Kim-33823;14.04.2026;538.0
